id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;luas_panen;satuan;produksi_padi;satuan;produktivitas_padi;satuan;tahun
38;32;JAWA BARAT;3204;KABUPATEN BANDUNG;FEBRUARI;3449;HEKTAR;20625;TON GABAH KERING GILING;59.8;KUINTAL PER HEKTAR;2018
39;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MARET;4396;HEKTAR;26289;TON GABAH KERING GILING;59.8;KUINTAL PER HEKTAR;2018
40;32;JAWA BARAT;3204;KABUPATEN BANDUNG;APRIL;12429;HEKTAR;74341;TON GABAH KERING GILING;59.81;KUINTAL PER HEKTAR;2018
41;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MEI;4385;HEKTAR;25796;TON GABAH KERING GILING;58.82;KUINTAL PER HEKTAR;2018
42;32;JAWA BARAT;3204;KABUPATEN BANDUNG;JUNI;1285;HEKTAR;7552;TON GABAH KERING GILING;58.76;KUINTAL PER HEKTAR;2018
43;32;JAWA BARAT;3204;KABUPATEN BANDUNG;JULI;4020;HEKTAR;23631;TON GABAH KERING GILING;58.79;KUINTAL PER HEKTAR;2018
44;32;JAWA BARAT;3204;KABUPATEN BANDUNG;AGUSTUS;5957;HEKTAR;35034;TON GABAH KERING GILING;58.81;KUINTAL PER HEKTAR;2018
45;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SEPTEMBER;7392;HEKTAR;40445;TON GABAH KERING GILING;54.71;KUINTAL PER HEKTAR;2018
46;32;JAWA BARAT;3204;KABUPATEN BANDUNG;OKTOBER;6588;HEKTAR;36047;TON GABAH KERING GILING;54.72;KUINTAL PER HEKTAR;2018
47;32;JAWA BARAT;3204;KABUPATEN BANDUNG;NOVEMBER;2053;HEKTAR;11232;TON GABAH KERING GILING;54.7;KUINTAL PER HEKTAR;2018
48;32;JAWA BARAT;3204;KABUPATEN BANDUNG;DESEMBER;1684;HEKTAR;9209;TON GABAH KERING GILING;54.68;KUINTAL PER HEKTAR;2018
49;32;JAWA BARAT;3205;KABUPATEN GARUT;JANUARI;2080;HEKTAR;12313;TON GABAH KERING GILING;59.19;KUINTAL PER HEKTAR;2018
50;32;JAWA BARAT;3205;KABUPATEN GARUT;FEBRUARI;8805;HEKTAR;51580;TON GABAH KERING GILING;58.58;KUINTAL PER HEKTAR;2018
51;32;JAWA BARAT;3205;KABUPATEN GARUT;MARET;9993;HEKTAR;58121;TON GABAH KERING GILING;58.16;KUINTAL PER HEKTAR;2018
52;32;JAWA BARAT;3205;KABUPATEN GARUT;APRIL;8076;HEKTAR;47245;TON GABAH KERING GILING;58.5;KUINTAL PER HEKTAR;2018
53;32;JAWA BARAT;3205;KABUPATEN GARUT;MEI;6625;HEKTAR;36530;TON GABAH KERING GILING;55.14;KUINTAL PER HEKTAR;2018
54;32;JAWA BARAT;3205;KABUPATEN GARUT;JUNI;8636;HEKTAR;47396;TON GABAH KERING GILING;54.88;KUINTAL PER HEKTAR;2018
55;32;JAWA BARAT;3205;KABUPATEN GARUT;JULI;10133;HEKTAR;55542;TON GABAH KERING GILING;54.81;KUINTAL PER HEKTAR;2018
56;32;JAWA BARAT;3205;KABUPATEN GARUT;AGUSTUS;6384;HEKTAR;35084;TON GABAH KERING GILING;54.96;KUINTAL PER HEKTAR;2018
57;32;JAWA BARAT;3205;KABUPATEN GARUT;SEPTEMBER;5635;HEKTAR;30280;TON GABAH KERING GILING;53.73;KUINTAL PER HEKTAR;2018
58;32;JAWA BARAT;3205;KABUPATEN GARUT;OKTOBER;5108;HEKTAR;27472;TON GABAH KERING GILING;53.78;KUINTAL PER HEKTAR;2018
59;32;JAWA BARAT;3205;KABUPATEN GARUT;NOVEMBER;5193;HEKTAR;27950;TON GABAH KERING GILING;53.82;KUINTAL PER HEKTAR;2018
60;32;JAWA BARAT;3205;KABUPATEN GARUT;DESEMBER;3734;HEKTAR;20072;TON GABAH KERING GILING;53.76;KUINTAL PER HEKTAR;2018
61;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JANUARI;3534;HEKTAR;19990;TON GABAH KERING GILING;56.56;KUINTAL PER HEKTAR;2018
62;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;FEBRUARI;14101;HEKTAR;79011;TON GABAH KERING GILING;56.03;KUINTAL PER HEKTAR;2018
63;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;MARET;7841;HEKTAR;45600;TON GABAH KERING GILING;58.15;KUINTAL PER HEKTAR;2018
64;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;APRIL;7321;HEKTAR;42125;TON GABAH KERING GILING;57.54;KUINTAL PER HEKTAR;2018
65;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;MEI;6755;HEKTAR;39532;TON GABAH KERING GILING;58.52;KUINTAL PER HEKTAR;2018
66;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JUNI;9565;HEKTAR;56236;TON GABAH KERING GILING;58.79;KUINTAL PER HEKTAR;2018
67;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JULI;10755;HEKTAR;61165;TON GABAH KERING GILING;56.87;KUINTAL PER HEKTAR;2018
68;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;AGUSTUS;7732;HEKTAR;45567;TON GABAH KERING GILING;58.93;KUINTAL PER HEKTAR;2018
69;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SEPTEMBER;6192;HEKTAR;35375;TON GABAH KERING GILING;57.13;KUINTAL PER HEKTAR;2018
70;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;OKTOBER;5693;HEKTAR;32497;TON GABAH KERING GILING;57.09;KUINTAL PER HEKTAR;2018
71;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;NOVEMBER;5321;HEKTAR;30406;TON GABAH KERING GILING;57.14;KUINTAL PER HEKTAR;2018
